rank,batch_size,learning_rate,regression_weight,huber_delta,T_0,T_mult,eta_min,composite_r2,val_loss,r2_theta,r2_a,r2_b,epochs,time_seconds
1,128,0.0005,2.0,8.0,2,2,1e-08,0.9915946570819003,0.09171604792277019,0.9724245011133414,0.9973146413994505,0.9966394858148094,50,210.9720938205719
2,128,0.0005,3.0,8.0,2,2,1e-08,0.9912972561897939,0.14457853682835897,0.9714303074137424,0.997249706351142,0.9965090109942913,50,213.76949620246887
3,64,0.0005,3.0,6.0,2,2,1e-07,0.991192024272372,0.15271099603176116,0.9715769268147626,0.9967995050420643,0.9963916652326611,50,319.8002667427063
4,64,0.0005,2.0,8.0,2,2,1e-07,0.9911721908969957,0.0972298800945282,0.971086041414193,0.9971584595661703,0.9964442626076195,50,319.61034774780273
5,128,0.0005,3.0,6.0,2,3,1e-08,0.9911219417461703,0.1465994913180669,0.9710642599649759,0.9971064258744251,0.99631708114528,50,193.49158883094788
6,64,0.0005,3.0,8.0,2,2,1e-08,0.991107104572942,0.1472576447725296,0.9714420154310669,0.9966996180464046,0.9962867848142968,50,340.80403995513916
7,64,0.0005,3.0,6.0,2,2,1e-08,0.9910987939996263,0.14219030030568441,0.9713150426584249,0.996674761746417,0.9964053715936633,50,319.9941771030426
8,128,0.0005,3.0,6.0,2,2,1e-07,0.991075175603343,0.14685816375414532,0.9711989667980011,0.9968846982058087,0.9962170374095621,50,196.0292682647705
9,128,0.0005,2.0,8.0,2,2,1e-07,0.9910741420562197,0.10224520746866862,0.9722390809421759,0.9961319907366656,0.9959254965460376,50,210.543226480484
10,64,0.00075,3.0,6.0,2,2,1e-07,0.9910548186793583,0.1473909221490224,0.9713239987758954,0.9969609025453536,0.9959343733961844,50,319.597336769104
11,64,0.0005,3.0,8.0,2,2,1e-07,0.9909892159568695,0.14713266690572102,0.9707526702060962,0.9968748389418628,0.9963293546795189,50,319.89310336112976
12,128,0.00075,3.0,6.0,2,2,1e-08,0.9909812425797181,0.14461336497465768,0.9709760820599568,0.9973170170843122,0.9956318711746036,50,209.93120193481445
13,128,0.0005,2.0,6.0,2,2,1e-07,0.9909533162105412,0.09941819431384405,0.9700306976642873,0.9972872671379546,0.9964953000399229,50,198.3062219619751
14,128,0.0005,2.0,6.0,2,2,1e-08,0.9909360094917935,0.10087065941095352,0.9714184927134477,0.9961389018147147,0.9961866434390115,50,216.36172151565552
15,64,0.00075,2.0,6.0,2,2,1e-08,0.9909302003575766,0.10085174944003424,0.9703634990353561,0.9970962272855889,0.9962610751093617,50,320.07001781463623
16,128,0.0005,2.0,8.0,2,3,1e-07,0.9909047070254107,0.10117399120330811,0.9709530938421547,0.9968963817053749,0.9957693525541131,50,195.7650396823883
17,64,0.0005,2.0,6.0,2,2,1e-07,0.9908686375526919,0.09934678973754248,0.9710877948291936,0.996009301439678,0.9963774539418961,50,319.70997285842896
18,128,0.0005,2.0,8.0,2,3,1e-08,0.9908613077636409,0.10367660975456237,0.9701846439196097,0.9968785295223052,0.9963820576126488,50,200.23187518119812
19,128,0.00075,3.0,6.0,2,2,1e-07,0.9908583270618018,0.14921955132484435,0.9703992764848146,0.9967930652199688,0.9962409665424236,50,209.93970894813538
20,128,0.00075,3.0,8.0,2,2,1e-08,0.9908437988838819,0.14514436089992525,0.9700162701557968,0.9970544047451289,0.9963045206346015,50,192.31407928466797
21,128,0.0005,3.0,8.0,2,2,1e-07,0.9907886713305973,0.14792924745877584,0.9702141062950015,0.9968335517385825,0.9961070272888052,50,217.45666074752808
22,128,0.00075,2.0,6.0,2,2,1e-07,0.990775040671664,0.09995002263784408,0.9699312311216742,0.9968289170258073,0.9963400145391741,50,211.26784825325012
23,128,0.00075,2.0,6.0,2,2,1e-08,0.9907680369794489,0.09817477059364318,0.9696450886843804,0.997042283417007,0.9963847758164085,50,210.52721309661865
24,64,0.00075,3.0,8.0,2,2,1e-07,0.9907662035508746,0.1527563887834549,0.9701808815079643,0.9968837914409526,0.9960001412545818,50,320.0802505016327
25,64,0.0005,2.0,6.0,2,2,1e-08,0.9907649234038716,0.10226235063870748,0.9701965945454192,0.9966367529865808,0.9962263460834865,50,320.0130171775818
26,64,0.0005,2.0,8.0,2,2,1e-08,0.9907542135217975,0.09824191218614578,0.9705914321840603,0.9962537089386483,0.9961717129644815,50,342.913850069046
27,128,0.0005,3.0,6.0,2,2,1e-08,0.9907394278842991,0.14511601396401724,0.9702592869351858,0.9963688521543811,0.9963295724476297,50,211.554594039917
