rank,batch_size,learning_rate,consistency_weight,huber_delta,T_0,T_mult,eta_min,composite_r2,val_loss,r2_theta,r2_a,r2_b,epochs,time_seconds
1,128,0.001,0.5,5.0,3,2,1e-07,0.9388501761692009,0.13291240001612523,0.8317777876480769,0.9899588038898836,0.9948139369696419,50,75.12348461151123
2,64,0.0005,0.5,7.0,5,3,1e-08,0.9383178942958376,0.13568390861470647,0.8291412647589227,0.9907729406789778,0.9950394774496121,50,114.6043746471405
3,128,0.001,0.5,7.0,3,2,1e-07,0.9382993313261613,0.13783511389443215,0.830483616660565,0.9909290465621875,0.9934853307557314,50,75.17102599143982
4,128,0.0005,0.5,5.0,3,3,1e-08,0.9382921139531598,0.14000769986751233,0.8362923230332722,0.9895268617886527,0.9890571570375546,50,75.19854927062988
5,128,0.0005,0.5,7.0,3,3,1e-08,0.9381646932241323,0.13792383673977346,0.8346014050219507,0.9879257299718142,0.9919669446786322,50,75.20455431938171
6,64,0.001,0.5,7.0,3,2,1e-07,0.9373108235536063,0.13813336979835592,0.8295425334560802,0.989736814156763,0.9926531230479756,50,114.42872333526611
7,64,0.0005,0.5,7.0,5,2,1e-08,0.9369652942548453,0.148684427871349,0.8280757035813799,0.9887718761693306,0.9940483030138254,50,114.31162285804749
8,128,0.0005,0.5,5.0,3,3,1e-07,0.9368269437815303,0.1412047691801761,0.8297311625903052,0.9873792989656196,0.9933703697886663,50,75.20655632019043
9,64,0.0005,0.5,7.0,3,2,1e-08,0.9368134028665702,0.14203882952953906,0.830872693610335,0.9866396379971906,0.9929278769921851,50,114.47176051139832
10,128,0.001,0.5,5.0,3,3,1e-08,0.9367784785873106,0.14289249644634572,0.8290763090731916,0.9888683991478225,0.9923907275409178,50,75.24659037590027
11,128,0.0005,0.5,5.0,3,2,1e-07,0.9367189584872923,0.1451054829866328,0.8260339265890867,0.9901840604982594,0.9939388883745308,50,75.24859189987183
12,64,0.001,1.0,5.0,5,3,1e-08,0.9363597182046101,0.17158269609542603,0.8281827389038654,0.988261052250084,0.9926353634598809,50,114.41871476173401
13,64,0.0005,0.5,5.0,5,3,1e-07,0.9362641744744353,0.14191930858378715,0.8266880042308579,0.9874708473220493,0.9946336718703985,50,114.46475481987
14,64,0.001,0.5,5.0,5,3,1e-07,0.9361409294994875,0.13886930841080686,0.823192764380434,0.9897747216678531,0.9954553024501751,50,114.54582381248474
15,128,0.0005,0.5,5.0,5,2,1e-07,0.9359998130326321,0.15058435467963524,0.8286834599033348,0.9874472452850906,0.9918687339094712,50,75.23357915878296
16,128,0.0005,1.0,7.0,3,2,1e-07,0.9358946222637184,0.171575990636298,0.8276290029431034,0.9867328759089589,0.9933219879390933,50,75.21306133270264
17,64,0.0005,0.5,5.0,3,2,1e-08,0.9358701637986897,0.1356711408559312,0.822799297085723,0.989039297752839,0.9957718965575073,50,114.51229548454285
18,128,0.001,0.5,5.0,2,3,1e-07,0.9357013567247959,0.142431041281274,0.824468629465111,0.9884278900197014,0.9942075506895757,50,74.7396547794342
19,128,0.0005,0.5,7.0,3,2,1e-07,0.9356687991046463,0.14079423093415322,0.8245214952657639,0.9885215451325243,0.9939633569156507,50,75.24658989906311
20,128,0.0005,0.5,5.0,5,2,1e-08,0.9354666895776589,0.14385388845458943,0.8235870373100782,0.9877332133898564,0.9950798180330418,50,75.18253540992737
21,128,0.0005,1.0,5.0,3,2,1e-07,0.9353007820726266,0.17474884669831459,0.8241639282923496,0.9887242528060688,0.9930141651194612,50,75.18203496932983
22,64,0.0005,0.5,5.0,5,3,1e-08,0.9352505562747052,0.14445753062659122,0.8236637971769339,0.988732454178066,0.9933554174691154,50,114.43572998046875
23,64,0.0005,0.5,7.0,5,2,1e-07,0.9351132715938136,0.14438166475676475,0.8210163064159701,0.990210693061496,0.9941128153039748,50,114.3746771812439
24,128,0.001,0.5,5.0,5,2,1e-08,0.9350331317348625,0.14728993652982914,0.8237904890476322,0.9879234303164407,0.9933854758405143,50,75.25860071182251
25,64,0.0005,0.5,5.0,5,2,1e-07,0.9347523891286434,0.14785180605472403,0.8245121277363581,0.9857480494318126,0.9939969902177593,50,114.33764624595642
26,128,0.0005,1.0,7.0,3,2,1e-08,0.9346238555418139,0.19297048627062047,0.8274762076208706,0.9842221686406247,0.9921731903639465,50,75.18503761291504
27,128,0.001,0.5,5.0,3,2,1e-08,0.9345029753330368,0.14083643508084276,0.8193966322608257,0.9905419313672476,0.9935703623710372,50,75.15100836753845
